iter_num	obj	reduced_cost
145	3452985.41	47197.88
146	3451796.93	54322.84
147	3451534.99	51140.47
148	3451471.47	54255.05
149	3451409.63	45743.51
150	3451328.02	36421.29
151	3450813.17	46629.95
152	3450677.55	48951.55
153	3450480.62	38142.58
154	3450332.58	40688.35
155	3450231.69	44359.29
156	3450105.08	41507.85
157	3449586.43	43934.83
158	3449545.75	34196.97
159	3449113.90	34354.79
160	3447646.56	26755.91
161	3447549.13	21786.59
162	3447459.47	31105.73
163	3447278.03	43898.90
164	3446774.62	32526.44
165	3446648.42	30939.67
166	3446607.23	22576.98
167	3446515.79	16909.63
168	3446436.60	21606.74
169	3446343.26	18184.49
170	3446335.58	24309.89
171	3446302.04	15949.71
172	3445868.72	24390.26
173	3445834.83	17793.24
174	3445413.03	23295.30
175	3445192.33	49398.34
176	3445161.83	31406.42
177	3445078.92	21064.32
178	3444636.62	39690.65
179	3444551.71	23711.42
180	3444512.99	28550.17
181	3444463.90	17826.99
182	3444334.95	28407.38
183	3444247.54	23027.36
184	3443960.02	25063.25
185	3443943.12	22383.66
186	3443913.15	18789.57
187	3443764.06	17620.40
188	3443669.77	22363.12
189	3443645.95	14589.26
190	3443645.36	15806.63
191	3443615.72	14571.71
192	3443599.52	15438.59
193	3443595.82	12360.67
194	3443586.51	16989.67
195	3443477.59	16322.03
196	3443269.25	13730.03
197	3443095.30	16968.82
198	3442852.00	16980.37
199	3442696.76	24064.38
200	3442650.01	18382.91
201	3442607.08	13561.23
202	3442584.97	13324.23
203	3442543.58	10199.38
204	3442454.82	12697.32
205	3442318.22	20726.96
206	3442309.36	9321.01
207	3442162.63	16192.58
208	3441979.92	16513.14
209	3441909.29	13517.97
210	3441871.16	10841.02
211	3441687.62	13233.06
212	3441658.53	13020.45
213	3441411.22	15523.22
214	3441391.54	10156.90
215	3441359.44	10877.57
216	3441191.68	10399.87
217	3441183.92	9498.61
218	3441073.49	10092.80
219	3441069.16	6987.27
220	3441027.68	10548.50
221	3440990.68	10097.51
222	3440952.62	8559.34
223	3440910.84	9954.80
224	3440897.14	8144.43
225	3440864.95	7872.67
226	3440833.68	6612.56
227	3440818.55	5180.80
228	3440729.57	8621.72
229	3440703.86	7363.25
230	3440698.38	6435.01
231	3440682.76	6466.60
232	3440673.96	7133.18
233	3440665.68	4551.22
234	3440637.53	8087.19
235	3440610.93	4463.44
236	3440582.61	5080.53
237	3440568.62	8087.97
238	3440564.55	4986.02
239	3440516.84	4240.31
240	3440288.25	6034.35
241	3440155.25	5730.42
242	3440125.31	7174.29
243	3440109.09	4267.26
244	3440099.47	6198.85
245	3440085.55	5159.97
246	3440083.39	4676.14
247	3440075.37	5558.71
248	3440062.48	3710.37
249	3440039.32	3721.18
250	3440032.07	4268.76
251	3440002.72	4374.80
252	3439988.64	4381.30
253	3439965.70	4040.26
254	3439930.32	3740.79
255	3439912.83	4141.83
256	3439906.37	3967.36
257	3439902.71	2935.73
258	3439869.69	3202.52
259	3439861.30	4202.00
260	3439846.51	4288.86
261	3439842.80	3248.37
262	3439823.37	3420.39
263	3439814.02	3223.05
264	3439801.86	3085.84
265	3439780.44	2152.27
266	3439740.45	2278.19
267	3439738.95	2935.92
268	3439715.63	1444.04
269	3439681.43	1103.01
270	3439670.82	1131.30
271	3439669.91	1354.30
272	3439666.87	1618.46
273	3439663.46	1272.49
274	3439654.99	1269.74
275	3439642.55	1544.26
276	3439640.11	1560.76
277	3439621.63	1081.64
278	3439612.23	1167.11
279	3439582.31	1473.76
280	3439571.66	1454.56
281	3439567.22	1194.58
282	3439541.11	1752.60
283	3439536.74	1909.01
284	3439525.72	1719.83
285	3439520.66	1244.27
286	3439515.17	1322.86
287	3439508.94	2021.30
288	3439501.04	993.40
289	3439494.92	940.21
290	3439491.57	769.27
291	3439480.22	1346.42
292	3439471.69	817.73
293	3439455.81	1478.26
294	3439452.58	1206.15
295	3439442.71	824.61
296	3439427.57	901.06
297	3439425.72	847.12
298	3439422.73	737.25
299	3439414.61	1268.66
300	3439410.62	634.21
301	3439402.37	854.86
302	3439402.27	530.48
303	3439401.56	433.86
304	3439400.93	515.90
305	3439398.14	666.66
306	3439398.00	530.29
307	3439390.90	597.84
308	3439389.90	852.80
309	3439388.77	372.13
310	3439387.13	146.55
311	3439387.08	144.98
312	3439386.75	113.73
313	3439382.25	326.77
314	3439382.12	316.15
315	3439380.58	277.98
316	3439380.49	270.91
317	3439379.35	128.87
318	3439379.31	128.87
319	3439379.27	128.87
320	3439376.09	135.98
321	3439373.87	-0.00
